account_district_id,account_frequency,account_date,
18,POPLATEK MESICNE,1995-03-24
1,POPLATEK MESICNE,1993-02-26
5,POPLATEK MESICNE,1997-07-07
12,POPLATEK MESICNE,1996-02-21
15,POPLATEK MESICNE,1997-05-30
51,POPLATEK MESICNE,1994-09-27
60,POPLATEK MESICNE,1996-11-24
57,POPLATEK MESICNE,1995-09-21
70,POPLATEK MESICNE,1993-01-27
54,POPLATEK MESICNE,1996-08-28
76,POPLATEK MESICNE,1995-10-10
21,POPLATEK MESICNE,1997-04-15
76,POPLATEK MESICNE,1997-08-17
47,POPLATEK MESICNE,1996-11-27
70,POPLATEK MESICNE,1993-10-02
12,POPLATEK MESICNE,1997-09-23
1,POPLATEK MESICNE,1997-01-08
43,POPLATEK TYDNE,1993-05-26
21,POPLATEK MESICNE,1995-04-07
74,POPLATEK MESICNE,1996-08-24
54,POPLATEK MESICNE,1997-12-06
1,POPLATEK MESICNE,1994-03-23
30,POPLATEK MESICNE,1993-05-22
74,POPLATEK MESICNE,1996-12-05
68,POPLATEK MESICNE,1996-07-28
52,POPLATEK MESICNE,1993-08-08
73,POPLATEK MESICNE,1993-09-26
7,POPLATEK MESICNE,1994-11-24
36,POPLATEK MESICNE,1995-03-04
68,POPLATEK MESICNE,1994-04-27
5,POPLATEK MESICNE,1995-08-28
22,POPLATEK MESICNE,1993-08-26
67,POPLATEK TYDNE,1993-09-17
75,POPLATEK MESICNE,1993-07-07
1,POPLATEK MESICNE,1993-07-01
20,POPLATEK MESICNE,1997-08-18
19,POPLATEK TYDNE,1997-08-08
36,POPLATEK MESICNE,1993-09-22
64,POPLATEK MESICNE,1993-10-25
72,POPLATEK MESICNE,1997-08-02
39,POPLATEK MESICNE,1996-08-16
36,POPLATEK MESICNE,1994-06-12
32,POPLATEK MESICNE,1993-05-10
64,POPLATEK MESICNE,1997-09-02
45,POPLATEK MESICNE,1993-08-08
21,POPLATEK MESICNE,1996-11-17
1,POPLATEK MESICNE,1997-04-06
1,POPLATEK MESICNE,1994-05-06
67,POPLATEK MESICNE,1996-05-11
16,POPLATEK MESICNE,1997-01-29
77,POPLATEK MESICNE,1995-06-07
4,POPLATEK MESICNE,1995-05-02
20,POPLATEK MESICNE,1996-02-19
50,POPLATEK MESICNE,1994-05-16
1,POPLATEK MESICNE,1995-05-21
29,POPLATEK MESICNE,1996-08-23
43,POPLATEK MESICNE,1994-03-27
70,POPLATEK MESICNE,1993-12-11
