plant_state_Health,land_state_Dry,environmental_factors_Rain,environmental_factors_Humidity,environmental_factors_Wind,environmental_factors_Light,environmental_factors_Temperature,time_DayTime,time_Season,region_LocationType,plant_PlantType,
Good,High,Low,High,Fast,High,High,H6_12,Fall,Outdoor,GardenPlant
Good,Low,Low,High,Fast,High,Low,H12_18,Fall,Outdoor,GardenPlant
Good,High,Low,Low,Fast,High,Low,H24_6,Fall,Outdoor,GardenPlant
Bad,High,Low,Low,Slow,Low,High,H12_18,Fall,Outdoor,GardenPlant
Bad,High,High,Low,Fast,High,Low,H24_6,Fall,Outdoor,GardenPlant
Bad,High,Low,Low,Fast,Low,High,H12_18,Fall,Outdoor,GardenPlant
Bad,Low,Low,High,Slow,Low,Low,H24_6,Fall,Outdoor,GardenPlant
Bad,Low,Low,High,Slow,Low,High,H12_18,Fall,Outdoor,GardenPlant
Good,Low,Low,High,Fast,High,High,H24_6,Fall,Outdoor,GardenPlant
Good,Low,Low,High,Fast,Low,High,H6_12,Spring,Outdoor,GardenPlant
Good,High,Low,Low,Fast,High,Low,H6_12,Summer,Outdoor,GardenPlant
Good,High,High,Low,Slow,High,High,H12_18,Fall,Outdoor,GardenPlant
Good,High,High,Low,Slow,Low,Low,H6_12,Winter,Outdoor,GardenPlant
Bad,Low,Low,Low,Slow,Low,High,H18_24,Fall,Outdoor,GardenPlant
Bad,Low,Low,Low,Slow,Low,Low,H24_6,Fall,Outdoor,GardenPlant
Good,Low,High,High,Fast,High,Low,H6_12,Fall,Outdoor,GardenPlant
Good,High,High,Low,Slow,Low,High,H12_18,Fall,Outdoor,GardenPlant
Good,Low,Low,Low,Slow,Low,High,H6_12,Fall,Outdoor,GardenPlant
Good,Low,High,High,Slow,High,High,H6_12,Fall,Outdoor,GardenPlant
Good,Low,Low,High,Fast,High,Low,H6_12,Fall,Outdoor,GardenPlant
Good,High,High,Low,Slow,High,Low,H6_12,Fall,Indoor,GardenPlant
